task_id,success_count,ok_runs,dominant_failure,failure_distribution
32,1,ABC_dedup_BC,compile_error,"{""compile_error"": 13, ""runtime_error"": 1}"
46,1,A,compile_error,"{""wrong_output"": 3, ""compile_error"": 11}"
47,1,ABC_source_numericalhub,compile_error,"{""compile_error"": 10, ""wrong_output"": 2, ""runtime_error"": 2}"
54,1,ABC_filtered_accept_BC_shuffle,compile_error,"{""compile_error"": 13, ""wrong_output"": 1}"
76,1,AB_antineighbor,compile_error,"{""compile_error"": 14}"
88,1,AB_antineighbor,runtime_error,"{""runtime_error"": 8, ""wrong_output"": 1, ""compile_error"": 5}"
91,1,A,compile_error,"{""wrong_output"": 5, ""compile_error"": 9}"
117,1,ABC_filtered_accept_AC_shuffle,compile_error,"{""compile_error"": 9, ""runtime_error"": 3, ""wrong_output"": 2}"
124,1,ABC_filtered_accept_BC_shuffle,compile_error,"{""runtime_error"": 3, ""compile_error"": 10, ""wrong_output"": 1}"
127,1,ABC_filtered_accept_BC_shuffle,compile_error,"{""compile_error"": 12, ""wrong_output"": 2}"
128,1,ABC_filtered_accept_A,compile_error,"{""wrong_output"": 4, ""compile_error"": 10}"
153,1,ABC_source_numericalhub,compile_error,"{""runtime_error"": 5, ""wrong_output"": 1, ""compile_error"": 8}"
9,2,"ABC_filtered_accept_A,ABC_source_fortran_lang",runtime_error,"{""runtime_error"": 9, ""wrong_output"": 2, ""compile_error"": 2}"
15,2,"A,ABC_dedup_BC",compile_error,"{""compile_error"": 11, ""wrong_output"": 2}"
26,2,"ABC_filtered_accept_A,ABC_source_burkardt",runtime_error,"{""runtime_error"": 11, ""wrong_output"": 2}"
89,2,"A,ABC_dedup_BC",wrong_output,"{""wrong_output"": 11, ""generation_or_parse_error"": 1, ""compile_error"": 1}"
93,2,"A,ABC_filtered_accept_C",compile_error,"{""wrong_output"": 4, ""compile_error"": 9}"
97,2,"A,ABC_source_fortran_lang",wrong_output,"{""wrong_output"": 8, ""compile_error"": 5}"
154,2,"A,ABC_filtered_accept_BC_shuffle",wrong_output,"{""compile_error"": 6, ""wrong_output"": 7}"
13,3,"ABC_filtered_accept,ABC_filtered_reject,ABC_source_fortran_lang",compile_error,"{""compile_error"": 11, ""wrong_output"": 1}"
104,3,"A,ABC_filtered_accept_A,ABC_source_burkardt",compile_error,"{""wrong_output"": 3, ""compile_error"": 7, ""runtime_error"": 2}"
12,4,"ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C",compile_error,"{""runtime_error"": 5, ""compile_error"": 6}"
85,4,"ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_source_burkardt",compile_error,"{""compile_error"": 11}"
110,4,"ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C",compile_error,"{""runtime_error"": 2, ""compile_error"": 9}"
137,4,"ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_source_numericalhub",compile_error,"{""compile_error"": 6, ""runtime_error"": 3, ""wrong_output"": 2}"
151,4,"ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_reject,AB_antineighbor",runtime_error,"{""runtime_error"": 6, ""compile_error"": 5}"
38,5,"ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_reject,ABC_source_burkardt",compile_error,"{""runtime_error"": 2, ""compile_error"": 7, ""wrong_output"": 1}"
68,5,"ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_numericalhub",compile_error,"{""compile_error"": 8, ""wrong_output"": 2}"
79,5,"A,ABC_filtered_accept_AB_shuffle,ABC_filtered_reject,ABC_source_fortran_lang,ABC_source_numericalhub",wrong_output,"{""wrong_output"": 6, ""compile_error"": 4}"
96,5,"A,ABC_dedup_BC,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle",compile_error,"{""compile_error"": 9, ""wrong_output"": 1}"
2,6,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject",compile_error,"{""compile_error"": 9}"
6,6,"ABC_filtered_accept,ABC_filtered_accept_AC_shuffle,ABC_filtered_reject,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 7, ""wrong_output"": 2}"
8,6,"A,ABC_filtered_accept,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_burkardt,AB_antineighbor",compile_error,"{""wrong_output"": 2, ""runtime_error"": 3, ""compile_error"": 4}"
44,6,"ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual",compile_error,"{""compile_error"": 7, ""wrong_output"": 2}"
65,6,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_B,ABC_source_fortran_lang,ABC_source_numericalhub",compile_error,"{""compile_error"": 8, ""wrong_output"": 1}"
67,6,"A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,AB_antineighbor",compile_error,"{""wrong_output"": 3, ""compile_error"": 6}"
83,6,"ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 9}"
90,6,"ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C",compile_error,"{""wrong_output"": 1, ""compile_error"": 7, ""runtime_error"": 1}"
109,6,"ABC_filtered_accept_A,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 6, ""wrong_output"": 2, ""runtime_error"": 1}"
121,6,"A,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 3, ""compile_error"": 6}"
122,6,"ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_BC_shuffle,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt",compile_error,"{""compile_error"": 5, ""wrong_output"": 3, ""runtime_error"": 1}"
144,6,"ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_fortran_lang",compile_error,"{""runtime_error"": 3, ""wrong_output"": 1, ""compile_error"": 5}"
20,7,"ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub",compile_error,"{""compile_error"": 7, ""wrong_output"": 1}"
39,7,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_manual,ABC_source_burkardt",compile_error,"{""compile_error"": 8}"
49,7,"A,ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_source_fortran_lang,AB_antineighbor",wrong_output,"{""wrong_output"": 4, ""compile_error"": 4}"
73,7,"A,ABC_filtered_accept,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 7}"
123,7,"A,ABC_dedup_BC,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,AB_antineighbor",compile_error,"{""compile_error"": 6, ""runtime_error"": 2}"
150,7,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_manual,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 7}"
53,8,"A,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 7}"
60,8,"A,ABC_dedup_BC,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang",compile_error,"{""compile_error"": 7}"
62,8,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_reject,AB_antineighbor",compile_error,"{""wrong_output"": 2, ""runtime_error"": 1, ""compile_error"": 4}"
70,8,"A,ABC_filtered_accept_A,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_fortran_lang,ABC_source_numericalhub",compile_error,"{""compile_error"": 6, ""wrong_output"": 1}"
118,8,"ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""compile_error"": 7}"
4,9,"A,ABC_filtered_accept_A,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 2, ""compile_error"": 3, ""runtime_error"": 1}"
11,9,"A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""generation_or_parse_error"": 1, ""compile_error"": 4}"
21,9,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_numericalhub",compile_error,"{""wrong_output"": 1, ""runtime_error"": 2, ""compile_error"": 3}"
34,9,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_manual,AB_antineighbor",runtime_error,"{""runtime_error"": 3, ""compile_error"": 3}"
35,9,"A,ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""compile_error"": 5, ""wrong_output"": 1}"
45,9,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_manual,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 6}"
69,9,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 2, ""compile_error"": 4}"
102,9,"ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub",compile_error,"{""compile_error"": 6}"
107,9,"ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_manual,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 6}"
120,9,"ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_fortran_lang,ABC_source_numericalhub",compile_error,"{""compile_error"": 3, ""wrong_output"": 2, ""runtime_error"": 1}"
133,9,"ABC_filtered_accept,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",runtime_error,"{""runtime_error"": 3, ""compile_error"": 2, ""wrong_output"": 1}"
31,10,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub",compile_error,"{""compile_error"": 4, ""wrong_output"": 1}"
41,10,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 4}"
75,10,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_manual,ABC_source_burkardt,ABC_source_numericalhub",compile_error,"{""compile_error"": 5}"
99,10,"A,ABC_dedup_BC,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 5}"
131,10,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 5}"
147,10,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt",compile_error,"{""compile_error"": 5}"
159,10,"A,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 4}"
0,11,"A,ABC_filtered_accept,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 4}"
50,11,"A,ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 3}"
52,11,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,AB_antineighbor",wrong_output,"{""wrong_output"": 3, ""compile_error"": 1}"
59,11,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 4}"
61,11,"A,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 3}"
72,11,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 3}"
100,11,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 3}"
18,12,"A,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 3}"
24,12,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""compile_error"": 3}"
25,12,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub",wrong_output,"{""wrong_output"": 2, ""compile_error"": 1}"
36,12,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 3}"
40,12,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,AB_antineighbor",compile_error,"{""compile_error"": 2, ""wrong_output"": 1}"
43,12,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 3}"
56,12,"A,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 2}"
57,12,"A,ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 2, ""wrong_output"": 1}"
63,12,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""wrong_output"": 1, ""compile_error"": 2}"
77,12,"ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 3}"
139,12,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,AB_antineighbor",compile_error,"{""compile_error"": 3}"
152,12,"ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",wrong_output,"{""compile_error"": 1, ""wrong_output"": 2}"
155,12,"ABC_dedup_BC,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_AC_shuffle,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 3}"
55,13,"A,ABC_dedup_BC,ABC_filtered_accept,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",compile_error,"{""compile_error"": 2}"
64,13,"A,ABC_filtered_accept,ABC_filtered_accept_A,ABC_filtered_accept_AB_shuffle,ABC_filtered_accept_B,ABC_filtered_accept_BC_shuffle,ABC_filtered_accept_C,ABC_filtered_manual,ABC_filtered_reject,ABC_source_burkardt,ABC_source_fortran_lang,ABC_source_numericalhub,AB_antineighbor",wrong_output,"{""wrong_output"": 1, ""compile_error"": 1}"
